,filename, date, gender, race, yearofbirth, weather, glasses, expression, yaw,Unnamed: 9
36,90003d40.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, BlankStare,0,90003d40.nef
37,90003d41.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, Happiness,0,90003d41.nef
38,90003d42.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, BlankStare,0,90003d42.nef
39,90003d43.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, Happiness,0,90003d43.nef
40,90003d44.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, glasses, BlankStare,45,90003d44.nef
41,90003d45.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, glasses, Happiness,45,90003d45.nef
42,90003d46.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, none, BlankStare,45,90003d46.nef
43,90003d47.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, prism, BlankStare,45,90003d47.nef
44,90003d48.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, prism, Happiness,45,90003d48.nef
45,90003d49.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, none, Happiness,45,90003d49.nef
46,90003d50.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, glasses, BlankStare,90,90003d50.nef
47,90003d51.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, glasses, Happiness,90,90003d51.nef
48,90003d52.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, none, BlankStare,90,90003d52.nef
49,90003d53.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, prism, BlankStare,90,90003d53.nef
50,90003d54.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, prism, Happiness,90,90003d54.nef
51,90003d55.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, none, Happiness,90,90003d55.nef
52,90003d56.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, glasses, BlankStare,0,90003d56.nef
53,90003d57.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, glasses, BlankStare,0,90003d57.nef
54,90003d58.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, glasses, Happiness,0,90003d58.nef
55,90003d59.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, glasses, Happiness,0,90003d59.nef
56,90003d60.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, none, BlankStare,0,90003d60.nef
57,90003d61.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, none, BlankStare,0,90003d61.nef
58,90003d62.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, prism, BlankStare,0,90003d62.nef
59,90003d63.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, prism, BlankStare,0,90003d63.nef
60,90003d64.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, prism, Happiness,0,90003d64.nef
61,90003d65.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, prism, Happiness,0,90003d65.nef
62,90003d66.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, none, Happiness,0,90003d66.nef
63,90003d67.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, none, Happiness,0,90003d67.nef
64,90003d68.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, glasses, BlankStare,-45,90003d68.nef
65,90003d69.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, glasses, Happiness,-45,90003d69.nef
66,90003d70.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, none, BlankStare,-45,90003d70.nef
67,90003d71.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, prism, BlankStare,-45,90003d71.nef
68,90003d72.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, prism, Happiness,-45,90003d72.nef
69,90003d73.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, none, Happiness,-45,90003d73.nef
70,90003d74.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, glasses, BlankStare,-90,90003d74.nef
71,90003d75.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, glasses, Happiness,-90,90003d75.nef
72,90003d76.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, none, BlankStare,-90,90003d76.nef
73,90003d77.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, prism, BlankStare,-90,90003d77.nef
74,90003d78.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, prism, Happiness,-90,90003d78.nef
75,90003d79.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Rain, none, Happiness,-90,90003d79.nef
81,90004d6.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, Happiness,45,90004d6.nef
88,90004d13.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, glasses, BlankStare,0,90004d13.nef
89,90004d14.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, glasses, BlankStare,0,90004d14.nef
90,90004d15.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, glasses, Happiness,0,90004d15.nef
91,90004d16.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, glasses, Happiness,0,90004d16.nef
92,90004d17.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90004d17.nef
93,90004d18.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90004d18.nef
94,90004d19.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, prism, BlankStare,0,90004d19.nef
95,90004d20.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, prism, BlankStare,0,90004d20.nef
96,90004d21.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, prism, Happiness,0,90004d21.nef
97,90004d22.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, prism, Happiness,0,90004d22.nef
98,90004d23.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, Happiness,0,90004d23.nef
99,90004d24.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, Happiness,0,90004d24.nef
100,90004d25.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, glasses, BlankStare,-45,90004d25.nef
101,90004d26.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, glasses, Happiness,-45,90004d26.nef
102,90004d27.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, BlankStare,-45,90004d27.nef
103,90004d28.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, prism, BlankStare,-45,90004d28.nef
104,90004d29.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, prism, Happiness,-45,90004d29.nef
105,90004d30.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, Happiness,-45,90004d30.nef
112,90004d40.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90004d40.nef
113,90004d41.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, Happiness,0,90004d41.nef
114,90004d42.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90004d42.nef
115,90004d43.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, Happiness,0,90004d43.nef
116,90004d44.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, BlankStare,45,90004d44.nef
117,90004d45.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, Happiness,45,90004d45.nef
118,90004d46.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, BlankStare,45,90004d46.nef
119,90004d47.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, BlankStare,45,90004d47.nef
120,90004d48.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, Happiness,45,90004d48.nef
121,90004d49.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, Happiness,45,90004d49.nef
123,90004d51.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, Happiness,90,90004d51.nef
124,90004d52.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, BlankStare,90,90004d52.nef
127,90004d55.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, Happiness,90,90004d55.nef
128,90004d56.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, BlankStare,0,90004d56.nef
129,90004d57.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, BlankStare,0,90004d57.nef
130,90004d58.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, Happiness,0,90004d58.nef
131,90004d59.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, Happiness,0,90004d59.nef
132,90004d60.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, BlankStare,0,90004d60.nef
133,90004d61.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, BlankStare,0,90004d61.nef
134,90004d62.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, BlankStare,0,90004d62.nef
135,90004d63.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, BlankStare,0,90004d63.nef
136,90004d64.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, Happiness,0,90004d64.nef
137,90004d65.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, Happiness,0,90004d65.nef
139,90004d67.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, Happiness,0,90004d67.nef
140,90004d68.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, BlankStare,-45,90004d68.nef
141,90004d69.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, Happiness,-45,90004d69.nef
142,90004d70.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, BlankStare,-45,90004d70.nef
143,90004d71.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, BlankStare,-45,90004d71.nef
144,90004d72.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, Happiness,-45,90004d72.nef
145,90004d73.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, Happiness,-45,90004d73.nef
146,90004d74.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, BlankStare,-90,90004d74.nef
147,90004d75.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, Happiness,-90,90004d75.nef
148,90004d76.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, BlankStare,-90,90004d76.nef
149,90004d77.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, BlankStare,-90,90004d77.nef
150,90004d78.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, Happiness,-90,90004d78.nef
151,90004d79.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, Happiness,-90,90004d79.nef
152,90004d83.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90004d83.nef
153,90004d84.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, Happiness,0,90004d84.nef
157,90004d89.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, Happiness,45,90004d89.nef
158,90004d90.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, BlankStare,-45,90004d90.nef
159,90004d91.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, Happiness,-45,90004d91.nef
162,90004d95.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90004d95.nef
163,90004d96.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, Happiness,0,90004d96.nef
164,90004d98.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, none, BlankStare,0,90004d98.nef
165,90004d99.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, none, Happiness,0,90004d99.nef
169,90004d104.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, none, Happiness,45,90004d104.nef
170,90004d105.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, none, BlankStare,-45,90004d105.nef
174,90004d110.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, none, BlankStare,0,90004d110.nef
175,90004d111.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, none, Happiness,0,90004d111.nef
176,90004d113.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, Happiness,0,90004d113.nef
177,90004d114.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90004d114.nef
178,90004d115.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, Happiness,0,90004d115.nef
179,90004d116.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90004d116.nef
180,90004d117.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, glasses, BlankStare,0,90004d117.nef
181,90004d118.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, glasses, Happiness,0,90004d118.nef
182,90004d119.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, prism, BlankStare,0,90004d119.nef
183,90004d120.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, prism, Happiness,0,90004d120.nef
191,90004d128.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, prism, Happiness,45,90004d128.nef
192,90004d129.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, glasses, BlankStare,-45,90004d129.nef
193,90004d130.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, glasses, Happiness,-45,90004d130.nef
194,90004d131.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, prism, BlankStare,-45,90004d131.nef
195,90004d132.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, prism, Happiness,-45,90004d132.nef
200,90004d137.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, glasses, BlankStare,0,90004d137.nef
201,90004d138.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, glasses, Happiness,0,90004d138.nef
202,90004d139.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, prism, BlankStare,0,90004d139.nef
203,90004d140.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, prism, Happiness,0,90004d140.nef
204,90004d141.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, glasses, BlankStare,0,90004d141.nef
205,90004d142.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, glasses, Happiness,0,90004d142.nef
206,90004d143.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, prism, BlankStare,0,90004d143.nef
207,90004d144.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, prism, Happiness,0,90004d144.nef
213,90004d150.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, glasses, Happiness,45,90004d150.nef
216,90004d153.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, glasses, BlankStare,-45,90004d153.nef
217,90004d154.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, glasses, Happiness,-45,90004d154.nef
218,90004d155.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, prism, BlankStare,-45,90004d155.nef
219,90004d156.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, prism, Happiness,-45,90004d156.nef
222,90004d159.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, prism, BlankStare,90,90004d159.nef
224,90004d161.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, glasses, BlankStare,0,90004d161.nef
225,90004d162.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, glasses, Happiness,0,90004d162.nef
226,90004d163.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, prism, BlankStare,0,90004d163.nef
227,90004d164.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, prism, Happiness,0,90004d164.nef
240,90005d13.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, glasses, BlankStare,0,90005d13.nef
241,90005d14.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, glasses, BlankStare,0,90005d14.nef
242,90005d15.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, glasses, Happiness,0,90005d15.nef
243,90005d16.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, glasses, Happiness,0,90005d16.nef
244,90005d17.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90005d17.nef
245,90005d18.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90005d18.nef
246,90005d19.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, prism, BlankStare,0,90005d19.nef
247,90005d20.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, prism, BlankStare,0,90005d20.nef
248,90005d21.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, prism, Happiness,0,90005d21.nef
249,90005d22.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, prism, Happiness,0,90005d22.nef
250,90005d23.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, Happiness,0,90005d23.nef
251,90005d24.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, Happiness,0,90005d24.nef
252,90005d25.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, glasses, BlankStare,-45,90005d25.nef
253,90005d26.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, glasses, Happiness,-45,90005d26.nef
254,90005d27.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, BlankStare,-45,90005d27.nef
255,90005d28.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, prism, BlankStare,-45,90005d28.nef
256,90005d29.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, prism, Happiness,-45,90005d29.nef
257,90005d30.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, Happiness,-45,90005d30.nef
264,90005d40.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90005d40.nef
265,90005d41.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, Happiness,0,90005d41.nef
266,90005d42.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90005d42.nef
267,90005d43.nef, 2009-08-08 00:00:00, Male, White,1944, Inside, none, Happiness,0,90005d43.nef
268,90005d44.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, BlankStare,45,90005d44.nef
269,90005d45.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, Happiness,45,90005d45.nef
271,90005d47.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, BlankStare,45,90005d47.nef
272,90005d48.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, Happiness,45,90005d48.nef
273,90005d49.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, Happiness,45,90005d49.nef
274,90005d50.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, BlankStare,90,90005d50.nef
278,90005d54.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, Happiness,90,90005d54.nef
280,90005d56.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, BlankStare,0,90005d56.nef
281,90005d57.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, BlankStare,0,90005d57.nef
282,90005d58.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, Happiness,0,90005d58.nef
283,90005d59.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, Happiness,0,90005d59.nef
284,90005d60.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, BlankStare,0,90005d60.nef
285,90005d61.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, BlankStare,0,90005d61.nef
286,90005d62.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, BlankStare,0,90005d62.nef
287,90005d63.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, BlankStare,0,90005d63.nef
288,90005d64.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, Happiness,0,90005d64.nef
289,90005d65.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, Happiness,0,90005d65.nef
290,90005d66.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, Happiness,0,90005d66.nef
291,90005d67.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, Happiness,0,90005d67.nef
292,90005d68.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, BlankStare,-45,90005d68.nef
293,90005d69.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, Happiness,-45,90005d69.nef
294,90005d70.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, BlankStare,-45,90005d70.nef
295,90005d71.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, BlankStare,-45,90005d71.nef
296,90005d72.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, Happiness,-45,90005d72.nef
298,90005d74.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, glasses, BlankStare,-90,90005d74.nef
300,90005d76.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, BlankStare,-90,90005d76.nef
301,90005d77.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, prism, BlankStare,-90,90005d77.nef
303,90005d79.nef, 2009-08-08 00:00:00, Male, White,1944, Rain, none, Happiness,-90,90005d79.nef
304,90005d83.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90005d83.nef
305,90005d84.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, Happiness,0,90005d84.nef
310,90005d90.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, BlankStare,-45,90005d90.nef
311,90005d91.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, Happiness,-45,90005d91.nef
314,90005d95.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90005d95.nef
315,90005d96.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, Happiness,0,90005d96.nef
316,90005d98.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, none, BlankStare,0,90005d98.nef
317,90005d99.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, none, Happiness,0,90005d99.nef
320,90005d103.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, none, BlankStare,45,90005d103.nef
322,90005d105.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, none, BlankStare,-45,90005d105.nef
323,90005d106.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, none, Happiness,-45,90005d106.nef
326,90005d110.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, none, BlankStare,0,90005d110.nef
327,90005d111.nef, 2009-08-09 00:00:00, Male, White,1944, Sunny, none, Happiness,0,90005d111.nef
328,90005d113.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, Happiness,0,90005d113.nef
329,90005d114.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90005d114.nef
330,90005d115.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, Happiness,0,90005d115.nef
331,90005d116.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, none, BlankStare,0,90005d116.nef
332,90005d117.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, glasses, BlankStare,0,90005d117.nef
333,90005d118.nef, 2009-08-09 00:00:00, Male, White,1944, Inside, glasses, Happiness,0,90005d118.nef
